"","filename","sub","run","ses","task","name","Duration","nTR","Code","muvi_start_volume","muvi_end_volume"
"106","S03_session1_set2_run2-Set2_run2.log","S03","2","1","2","S14nailD.avi","489990",12,"Action4",60,70
"107","S03_session1_set2_run2-Set2_run2.log","S03","2","1","2","M15juiceD.avi","620036",15,"Action5",74,87
"108","S03_session1_set2_run2-Set2_run2.log","S03","2","1","2","S12letterD.avi","420086",10,"Action6",92,100
"109","S03_session1_set2_run2-Set2_run2.log","S03","2","1","2","M14nailD.avi","489990",12,"Action7",105,115
"110","S03_session1_set2_run2-Set2_run2.log","S03","2","1","2","S17pillowD.avi","440023",11,"Action8",119,128
"111","S03_session1_set2_run2-Set2_run2.log","S03","2","1","2","M12letterD.avi","420003",10,"Action9",132,140
"112","S03_session1_set2_run2-Set2_run2.log","S03","2","1","2","M17pillowD.avi","440023",11,"Action10",145,154
"113","S03_session2_set3_run1-Set3_run1.log","S03","1","2","3","S13lightD.avi","500000",12,"Action1",6,16
"114","S03_session2_set3_run1-Set3_run1.log","S03","1","2","3","S16pencilD.avi","829997",20,"Action2",21,39
"115","S03_session2_set3_run1-Set3_run1.log","S03","1","2","3","M13lightD.avi","510010",12,"Action3",44,54
"116","S03_session2_set3_run1-Set3_run1.log","S03","1","2","3","S18removerD.avi","639973",16,"Action4",59,73
"117","S03_session2_set3_run1-Set3_run1.log","S03","1","2","3","M16pencilD.avi","830080",20,"Action5",77,95
"118","S03_session2_set3_run1-Set3_run1.log","S03","1","2","3","S19sandwichD.avi","760010",19,"Action6",100,117
"119","S03_session2_set3_run1-Set3_run1.log","S03","1","2","3","M18removerD.avi","640057",16,"Action7",121,135
"120","S03_session2_set3_run1-Set3_run1.log","S03","1","2","3","S22shirtD.avi","379963",9,"Action8",139,146
"121","S03_session2_set3_run1-Set3_run1.log","S03","1","2","3","M19sandwichD.avi","770020",19,"Action9",151,168
"122","S03_session2_set3_run1-Set3_run1.log","S03","1","2","3","M22shirtD.avi","380047",9,"Action10",172,179
"123","S03_session2_set3_run2-Set3_run2.log","S03","2","2","3","S22shirtD.avi","380047",9,"Action1",6,13
"124","S03_session2_set3_run2-Set3_run2.log","S03","2","2","3","S18removerD.avi","640057",16,"Action2",18,32
"125","S03_session2_set3_run2-Set3_run2.log","S03","2","2","3","M22shirtD.avi","380047",9,"Action3",36,43
"126","S03_session2_set3_run2-Set3_run2.log","S03","2","2","3","S16pencilD.avi","829997",20,"Action4",48,66
"127","S03_session2_set3_run2-Set3_run2.log","S03","2","2","3","M18removerD.avi","640057",16,"Action5",71,85
"128","S03_session2_set3_run2-Set3_run2.log","S03","2","2","3","S13lightD.avi","500000",12,"Action6",89,99
"129","S03_session2_set3_run2-Set3_run2.log","S03","2","2","3","M16pencilD.avi","829997",20,"Action7",104,122
"130","S03_session2_set3_run2-Set3_run2.log","S03","2","2","3","S19sandwichD.avi","760010",19,"Action8",127,144
"131","S03_session2_set3_run2-Set3_run2.log","S03","2","2","3","M13lightD.avi","510093",12,"Action9",148,158
"132","S03_session2_set3_run2-Set3_run2.log","S03","2","2","3","M19sandwichD.avi","770020",19,"Action10",163,180
"133","S03_session2_set4_run1-Set4_run1.log","S03","1","2","4","S2boatD.avi","940023",23,"Action1",6,27
"134","S03_session2_set4_run1-Set4_run1.log","S03","1","2","4","S4buttonD.avi","659993",16,"Action2",31,45
"135","S03_session2_set4_run1-Set4_run1.log","S03","1","2","4","M2boatD.avi","940023",23,"Action3",50,71
"136","S03_session2_set4_run1-Set4_run1.log","S03","1","2","4","S5cardD.avi","829997",20,"Action4",75,93
"137","S03_session2_set4_run1-Set4_run1.log","S03","1","2","4","M4buttonD.avi","659993",16,"Action5",98,112
"138","S03_session2_set4_run1-Set4_run1.log","S03","1","2","4","M5cardD.avi","829997",20,"Action6",117,135
"139","S03_session2_set4_run2-Set4_run2.log","S03","2","2","4","S5cardD.avi","829997",20,"Action1",6,24
