"sub","ses","task","run","muvi","start_TR","end_TR","contrast","contrast_file","ExpectedDuration","dim4"
"sub_02","ses_02",3,2,"S16pencilD.avi",47,67,"Scrambled","thresh_zstat2.nii.gz",20,190
"sub_02","ses_02",3,2,"M18removerD.avi",70,85,"Motion","thresh_zstat1.nii.gz",15,190
"sub_02","ses_02",3,2,"S13lightD.avi",88,100,"Scrambled","thresh_zstat2.nii.gz",12,190
"sub_02","ses_02",3,2,"M16pencilD.avi",103,123,"Motion","thresh_zstat1.nii.gz",20,190
"sub_02","ses_02",3,2,"S19sandwichD.avi",126,144,"Scrambled","thresh_zstat2.nii.gz",18,190
"sub_02","ses_02",3,2,"M13lightD.avi",147,159,"Motion","thresh_zstat1.nii.gz",12,190
"sub_02","ses_02",3,2,"M19sandwichD.avi",162,190,"Motion","thresh_zstat1.nii.gz",18,190
"sub_02","ses_02",4,1,"S2boatD.avi",5,27,"Scrambled","thresh_zstat2.nii.gz",22,145
"sub_02","ses_02",4,1,"S4buttonD.avi",30,46,"Scrambled","thresh_zstat2.nii.gz",16,145
"sub_02","ses_02",4,1,"M2boatD.avi",49,71,"Motion","thresh_zstat1.nii.gz",22,145
"sub_02","ses_02",4,1,"S5cardD.avi",74,94,"Scrambled","thresh_zstat2.nii.gz",20,145
"sub_02","ses_02",4,1,"M4buttonD.avi",97,113,"Motion","thresh_zstat1.nii.gz",16,145
"sub_02","ses_02",4,1,"M5cardD.avi",116,145,"Motion","thresh_zstat1.nii.gz",20,145
"sub_02","ses_02",4,2,"S5cardD.avi",5,25,"Scrambled","thresh_zstat2.nii.gz",20,145
"sub_02","ses_02",4,2,"S4buttonD.avi",28,44,"Scrambled","thresh_zstat2.nii.gz",16,145
"sub_02","ses_02",4,2,"M5cardD.avi",47,67,"Motion","thresh_zstat1.nii.gz",20,145
"sub_02","ses_02",4,2,"S2boatD.avi",70,92,"Scrambled","thresh_zstat2.nii.gz",22,145
"sub_02","ses_02",4,2,"M4buttonD.avi",95,111,"Motion","thresh_zstat1.nii.gz",16,145
"sub_02","ses_02",4,2,"M2boatD.avi",114,145,"Motion","thresh_zstat1.nii.gz",22,145
"sub_03","ses_01",1,1,"S1ballonD.avi",5,17,"Scrambled","thresh_zstat2.nii.gz",12,220
"sub_03","ses_01",1,1,"S3breakfastD.avi",20,39,"Scrambled","thresh_zstat2.nii.gz",19,220
"sub_03","ses_01",1,1,"M1ballonD.avi",42,54,"Motion","thresh_zstat1.nii.gz",12,220
"sub_03","ses_01",1,1,"S6cigaretteD.avi",57,74,"Scrambled","thresh_zstat2.nii.gz",17,220
"sub_03","ses_01",1,1,"M3breakfastD.avi",77,96,"Motion","thresh_zstat1.nii.gz",19,220
"sub_03","ses_01",1,1,"S7flowersD.avi",99,118,"Scrambled","thresh_zstat2.nii.gz",19,220
"sub_03","ses_01",1,1,"M6cigaretteD.avi",121,138,"Motion","thresh_zstat1.nii.gz",17,220
